preemption_threshold,total_patients,avg_wait_time,max_wait_time,avg_queue_length,max_queue_length,server_utilization,preemption_count,new_patient_avg_wait,recheck_patient_avg_wait,runs
1,80.0,48.314098171660994,168.47332647912975,10.604938271604938,22,1.0,22.0,84.99838703727407,1.1485839158727547,1
2,80.0,48.314098171660994,168.47332647912975,10.407407407407407,21,1.0,22.0,84.99838703727407,1.1485839158727547,1
3,80.0,44.737021815288,158.47332647912975,9.493827160493828,20,1.0,22.0,78.63914018149988,1.1485839158727547,1
4,80.0,42.697278978840686,154.32006845854892,8.864197530864198,19,1.0,22.0,75.0129306944824,1.1485839158727547,1
5,80.0,42.45378441490884,153.62815990392647,8.283950617283951,17,1.0,22.0,74.58005146971469,1.1485839158727547,1
6,80.0,38.55129875399662,133.62815990392647,6.839506172839506,13,1.0,22.0,67.6422991836485,1.1485839158727547,1
7,80.0,34.250117012196114,113.84746272873934,5.864197530864198,11,1.0,22.0,59.99575386489205,1.1485839158727547,1
8,80.0,28.61856203681767,93.84746272873934,4.654320987654321,9,1.0,22.0,49.98410057533037,1.1485839158727547,1
9,79.0,19.57020038090131,67.53600042466277,2.925925925925926,6,1.0,22.0,34.22375893262856,1.1485839158727547,1
10,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
11,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
12,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
13,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
14,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
15,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
16,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
17,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
18,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
19,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
20,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
21,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
22,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
23,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
24,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
25,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
26,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
27,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
28,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
29,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
30,77.0,15.12242790035814,58.16496714151418,2.1728395061728394,6,1.0,21.0,26.767297887429294,1.1485839158727547,1
